UV_treatment,UV_1_0,mass_at_start,mass_week_two,number_of_days,growth_rate,log_growth_rate_plus1,development_time,log_development_time,massa_emergence,sex,sex_1_0,mass_exuvia,total_mass,melanineconcentration_exuvia_per_mass,melanincontent_per_length,sqrt_melanincontent_per_length,PO_per_mg,hemocyte_average_per_mg,log_hemocyte_average_per_mg
UV,1,24.4,36.19,13,0.030323054,0.012973418,27,1.431363764,22.82,v,0,0.84,23.66,2.876687117,0.254270184,0.504252104,4.929886065,0.446976337,0.369476094
UV,1,26.21,32.37,13,0.016237773,0.006995333,22,1.342422681,21.33,m,1,0.73,22.06,1.852307976,0.41046202,0.640673099,5.80403188,0.872011252,0.627013389
controle,0,28.8,36.11,13,0.017399573,0.007491551,21,1.322219295,22.88,v,0,0.7,23.58,2.083670236,0.16005641,0.400070506,5.793269231,0.699300699,0.530216813
UV,1,24.63,29.33,13,0.013434282,0.005795591,23,1.361727836,20.38,m,1,0.65,21.03,2.472583415,0.199710293,0.446889575,6.364082434,1.157998037,0.769180957
controle,0,23.61,37.9,13,0.036406212,0.015530008,21,1.322219295,18.68,m,1,0.48,19.16,1.657949679,0.197785093,0.44473036,6.263383298,0.39614561,0.333715304
UV,1,26.32,38.72,13,0.029694397,0.012708349,24,1.380211242,21.78,v,0,0.61,22.39,2.646052382,0.069423957,0.263484263,6.202938476,0.578512397,0.456482882
controle,0,23.79,28.5,13,0.013895289,0.005993105,25,1.397940009,19.86,m,1,0.59,20.45,2.241650932,0.145853042,0.381907112,6.374622356,1.228600201,0.801373676
UV,1,28.96,39.85,13,0.024554372,0.010535011,28,1.447158031,25.63,v,0,0.72,26.35,2.002497076,0.213987115,0.462587413,5.208739758,1.06125634,0.723315671
controle,0,25.91,33.05,13,0.018722506,0.008055901,22,1.342422681,22.38,m,1,0.63,23.01,1.935556302,0.386586166,0.621760538,5.484807864,0.840035746,0.609784999
UV,1,27.91,39.29,13,0.026306537,0.011277095,28,1.447158031,24.52,v,0,0.83,25.35,2.603411329,0.182933749,0.427707551,6.641517129,1.03588907,0.710932613
controle,0,27.02,38.44,13,0.027117019,0.011619926,29,1.462397998,25.12,v,0,0.74,25.86,2.06142682,0.054663734,0.233802767,6.745621019,0.652866242,0.502510897
UV,1,27.15,38.68,13,0.027226586,0.011666251,29,1.462397998,25.3,v,0,0.89,26.19,1.978754941,0.249571216,0.499571032,5.353754941,1.652173913,0.975379648
controle,0,28.02,39.97,13,0.027323895,0.01170739,27,1.431363764,26.55,v,0,0.93,27.48,1.79337335,0.297957796,0.545855105,4.403013183,1.551789077,0.936794712
UV,1,23.72,31.19,13,0.02105992,0.009051229,20,1.301029996,21.32,m,1,0.68,22,1.567901816,0.112465641,0.335358974,5.902908068,0.900562852,0.64215008
controle,0,32.66,39.99,13,0.015575257,0.006712111,21,1.322219295,22.85,m,1,0.8,23.65,,,,,,
UV,1,27.85,40.01,13,0.027868958,0.01193775,26,1.414973348,24.68,v,0,0.96,25.64,2.551215559,0.113371513,0.336706866,6.841572123,0.575364668,0.454486781
controle,0,27.82,42.15,13,0.031959961,0.013662848,22,1.342422681,24.86,v,0,0.74,25.6,1.845659022,0.817054879,0.90391088,6.220836685,0.659694288,0.506633422
UV,1,26.41,39.04,13,0.030064926,0.012864599,28,1.447158031,24.13,m,1,0.94,25.07,2.432618458,0.026179723,0.161801494,5.66307501,0.903439702,0.643662619
controle,0,28.98,35.31,13,0.015196944,0.006550302,20,1.301029996,25.52,v,0,0.79,26.31,2.936509762,0.584336086,0.76441879,5.436912226,0.666144201,0.510512095
UV,1,24.43,35.49,13,0.028726083,0.012299751,26,1.414973348,21.73,m,1,0.84,22.57,2.203727568,,,6.334560515,0.487804878,0.397301797
UV,1,29.89,41.2,13,0.024685714,0.010590681,27,1.431363764,24.63,v,0,0.88,25.51,3.393118149,0.324945142,0.570039597,5.066991474,2.314250914,1.198231629
controle,0,33.95,39.87,13,0.012364254,0.005336802,30,1.477121255,29.68,v,0,1.03,30.71,2.525475205,0.337792853,0.581199495,6.666105121,1.314016173,0.838984618
UV,1,27.08,40.22,13,0.03042838,0.013017811,25,1.397940009,22.42,m,1,0.74,23.16,2.505105189,0,0,6.489741302,1.186440678,0.78227496
controle,0,28.18,36.48,13,0.01985782,0.00853963,21,1.322219295,23.81,v,0,0.81,24.62,1.658512707,0.493084722,0.702199916,4.046619068,0.46199076,0.379799041
UV,1,31.66,43.64,13,0.024686162,0.010590871,27,1.431363764,27.76,v,0,0.91,28.67,2.251643552,0.259196132,0.509113084,9.35518732,0.75648415,0.563314169
controle,0,22.19,29.37,13,0.021564001,0.00926558,20,1.301029996,19.58,m,1,0.47,20.05,1.336577503,0.310574118,0.557291771,4.729315628,0.949948927,0.667803181
